,이름,주거지,전화번호,추천인,생년월일,구매상품,PT 등록 여부,담당 트레이너,첫 BMI 지수,현재 BMI지수,목표 BMI 지수,사용 라커,최초 등록일,누적 운동 횟수,누적 PT 횟수,가장 최근 운동일,상품권 말소 시기
42,정보식,홍지동,010-1253-6351,-,84.09.13,3개월권,Y,T김령진,30.5,30.3,29,-,2019년 06월 21일,10,2,2019년 07월 15일,2019년 09월 20일
43,김만강,홍지동,010-7829-8281,-,87.10.08,1개월권,N,-,24,23.8,23,43,2019년 04월 12일,4,0,2019년 04월 29일,2019년 05월 11일
44,반성문,구기동,010-4624-9212,반규원,97.12.27,3개월권,Y,T고진권,30.4,29.9,29,-,2019년 07월 01일,7,1,2019년 07월 15일,2019년 09월 30일
45,석호필,평창동,010-2172-4921,-,01.03.18,12개월권,Y,T김경문,39.4,33.1,30,45,2019년 01월 01일,171,14,2019년 07월 14일,2019년 12월 31일
46,남준기,평창동,010-9189-9819,-,02.07.27,12개월권,Y,T김령진,40.1,35.7,30,46,2019년 02월 01일,148,12,2019년 07월 14일,2020년 01월 31일
47,엄근진,부암동,010-8747-8010,송구하,83.07.04,6개월권,Y,T정창현,31.7,30.1,26,-,2019년 05월 26일,21,3,2019년 07월 16일,2019년 11월 25일
48,박신하,평창동,010-3847-2717,-,94.07.04,6개월권,Y,T정창현,19.5,18.9,18.5,-,2019년 04월 01일,88,7,2019년 07월 13일,2019년 09월 30일
49,박대현,홍지동,010-6291-0274,-,89.05.14,12개월권,Y,T이유진,27.8,25.1,25,-,2018년 10월 20일,130,18,2019년 07월 14일,2019년 11월 18일
50,송구하,홍지동,010-8191-7437,-,95.08.05,1개월권,N,-,24.4,24.1,24,50,2018년 11월 07일,10,0,2018년 12월 01일,2018년 12월 06일
51,장희영,홍지동,010-2019-0711,이혜원,98.07.20,3개월권,Y,T고진권,27.5,25,20,51,2019년 02월 01일,25,5,2019년 06월 30일,2019년 07월 31일
52,박선우,홍지동,010-1123-4456,김순옥,85.06.08,1개월권,Y,T이유진,25,23,22,-,2019년 03월 02일,36,8,2019년 07월 02일,2019년 08월 01일
53,이한솔,홍은동,010-2569-4578,박재정,88.08.08,3개월권,N,-,27,26,23,53,2019년 06월 15일,12,0,2019년 07월 03일,2019년 09월 14일
54,윤재영,평창동,01-8447-5969,박선우,93.02.13,3개월권,Y,T이유진,28,25,22,-,2019년 06월 09일,21,8,2019년 06월 30일,2019년 09월 08일
55,김준석,홍지동,010-1164-5625,박건후,97.01.03,6개월권,Y,T김경문,18,21,22,55,2018년 08월 09일,180,89,2019년 05월 30일,2019년 11월 08일
56,이혜원,부암동,010-3155-5488,김민제,70.08.06,1개월권,N,-,29,28,25,56,2018년 07월 02일,187,91,2019년 06월 29일,2019년 08월 01일
57,박재정,효자동,010-8854-1858,이혜원,96.12.25,1개월권,N,-,25,28,24,57,2018년 07월 15일,132,0,2019년 07월 11일,2019년 08월 14일
58,김순옥,홍지동,010-4198-0069,박건후,87.02.21,3개월권,Y,T김경문,19,20,24,-,2019년 01월 16일,54,25,2019년 07월 12일,2019년 09월 11일
59,박건후,평창동,010-3372-1855,김민제,96.11.05,12개월권,N,-,28,25,25,59,2017년 03월 12일,214,0,2019년 06월 25일,2020년 03월 11일
60,이현지,부암동,010-6274-4597,이재은,73.09.14,6개월권,Y,T김경문,28,27,23,-,2017년 09월 21일,188,104,2019년 07월 03일,2019년 12월 20일
61,김민제,홍지동,010-7676-8858,-,90.10.21,12개월권,Y,T김경문,29,24,24,61,2016년 10월 03일,380,156,2019년 06월 23일,2020년 10월 02일
62,이현우,홍은동,010-8859-6325,이현지,95.05.22,3개월권,Y,T정창현,26,26,22,-,2018년 04월 12일,226,110,2019년 07월 01일,2019년 11월 11일
63,이재은,효자동,010-1201-0901,이혜원,81.07.13,6개월권,Y,T이유진,28,27,25,63,2017년 03월 15일,358,196,2019년 05월 25일,2019년 11월 14일
64,김형태,홍지동,010-4732-4031,오지현,84.04.16,3개월권,N,-,28.3,27,25,-,2019년 05월 15일,13,0,2019년 07월 15일,2019년 08월 14일
65,김지수,구기동,010-7085-5397,-,97.06.29,6개월권,N,-,24.8,23,21,65,2016년 06월 30일,63,0,2019년 07월 13일,2019년 10월 12일
66,오영인,부암동,010-3441-2882,-,97.02.06,3개월권,Y,T한로빈,23.6,21,19,-,2017년 03월 13일,68,7,2019년 07월 16일,2019년 08월 10일
67,이지연,부암동,010-9258-4597,오영인,98.04.01,3개월권,Y,T김경문,24.2,22,20,-,2017년 03월 13일,68,7,2019년 07월 16일,2019년 08월 10일
68,오지현,홍지동,010-3676-5700,-,82.01.11,6개월권,Y,T정창현,28.8,25,24,68,2018년 09월 13일,78,12,2019년 07월 15일,2019년 11월 19일
69,김기수,홍은동,010-3551-2431,-,90.02.07,3개월권,Y,T김령진,16.4,19,20,69,2015년 10월 11일,22,9,2019년 07월 15일,2019년 08월 13일
70,이덕휘,구기동,010-1924-1233,김기수,93.07.11,6개월권,Y,T김령진,28.7,22,23,70,2017년 03월 13일,84,3,2019년 07월 15일,2019년 08월 05일
71,김기태,불광동,010-4667-8912,-,97.12.15,3개월권,N,-,25.7,23,21,71,2018년 07월 07일,45,0,2019년 07월 15일,2019년 09월 01일
72,안현,부암동,010-2914-6755,김기수,90.02.07,12개월권,Y,T정창현,28.7,26,25,72,2015년 01월 18일,13,2,2019년 07월 15일,2020년 06월 30일
73,안재윤,불광동,010-6289-5467,오영인,99.11.20,1개월권,N,-,27.6,26,23,73,2019년 06월 15일,12,0,2019년 07월 13일,2019년 08월 05일
74,이상민,효자동,010-7106-6642,안현,98.12.17,3개월권,N,-,17.8,18,20,-,2016년 01월 20일,27,0,2019년 07월 15일,2019년 09월 08일
75,오영인,부암동,010-8581-2070,-,95.11.23,3개월권,Y,T정창현,24.3,23,21,75,2018년 09월 13일,73,5,2019년 07월 15일,2019년 07월 31일
76,이시온,구기동,010-9319-7180,황상훈,93.07.18,12개월권,Y,T김경문,20.3,17.9,18,-,2017년 10월 13일,353,209,2019년 07월 12일,2019년 10월 19일
77,김철진,부암동,010-2892-5258,-,91.12.09,6개월권,Y,T고진권,24.5,20.1,19,77,2018년 07월 19일,120,33,2019년 07월 14일,2019년 08월 15일
78,이태연,홍지동,010-4324-8849,구예나,95.09.17,3개월권,N,-,25.8,24.3,20,-,2019년 04월 24일,21,0,2019년 07월 10일,2019년 07월 24일
79,김동수,부암동,010-8728-9811,심재원,91.09.23,6개월권,Y,T한로빈,28.1,24.5,22,79,2018년 12월 16일,53,12,2019년 07월 11일,2019년 09월 16일
80,최진일,구기동,010-2827-6437,황상훈,90.04.08,12개월권,Y,T고진권,23.6,20.1,19,-,2018년 05월 25일,139,23,2019년 06월 30일,2020년 01월 25일
81,이지현,홍은동,010-9538-5778,-,95.06.27,3개월권,N,-,26.9,19.8,21,-,2019년 03월 19일,72,0,2019년 07월 02일,2019년 09월 18일
82,강효진,홍지동,010-8767-4885,-,88.05.19,6개월권,Y,T이유진,24.4,23.2,19,82,2019년 04월 30일,48,22,2019년 07월 15일,2019년 10월 29일
83,구예나,평창동,010-4818-3347,강효진,96.02.13,1개월권,Y,T신창호,28.4,27.7,21,-,2019년 06월 28일,11,7,2019년 07월 16일,2019년 07월 28일
84,민희진,평창동,010-3984-8745,-,85.03.10,3개월권,Y,T신창호,23.7,19.6,19,84,2018년 11월 20일,89,31,2019년 06월 28일,2019년 08월 08일
85,황상훈,평창동,010-3991-1302,-,87.10.15,12개월권,N,-,25.2,19.6,20,85,2017년 03월 10일,389,0,2019년 07월 12일,2020년 03월 08일
86,심재원,부암동,010-9150-5250,김민제,86.08.28,12개월권,N,-,25.1,21.8,21,86,2017년 12월 27일,326,189,2019년 07월 09일,2019년 11월 27일
87,이다혜,평창동,010-9048-7801,이현지,97.04.18,6개월권,Y,T정창현,27.6,20.9,22,87,2019년 02월 22일,101,57,2019년 07월 07일,2019년 08월 22일
88,최빡준,평창동,010-5180-1882,이상민,95.01.10,6개월권,Y,T이유진,29,25,20,88,2019년 01월 02일,20,2,2019년 07월 15일,2019년 12월 12일
89,김자수,부암동,010-3639-1160,이시온,97.05.06,3개월권,N,-,28,26,21,89,2019년 02월 03일,30,0,2019년 07월 14일,2019년 12월 11일
90,한만준,구기동,010-9198-7884,-,96.06.05,12개월권,N,-,30,27,22,-,2019년 03월 04일,55,0,2019년 07월 13일,2019년 11월 11일
91,도봉순,평창동,010-6632-0916,김동수,88.02.06,6개월권,Y,T이유진,31,28,22,91,2019년 04월 05일,23,3,2019년 07월 12일,2019년 12월 01일
92,구준영,부암동,010-6797-7782,-,87.06.09,3개월권,N,-,33,26,23,-,2019년 05월 06일,26,0,2019년 07월 11일,2019년 11월 12일
93,민가리,홍은동,010-8242-3900,최진일,81.06.30,12개월권,N,-,29,28,27,,2018년 12월 01일,46,0,2019년 07월 10일,2019년 10월 10일
94,용가리,평창동,010-3516-4249,-,86.06.07,6개월권,N,-,29,24,25,94,2018년 11월 02일,20,0,2019년 07월 15일,2020년 01월 01일
95,안기은,불광동,010-4186-7884,구예나,99.1213,3개월권,Y,T정창현,30,29,21,-,2018년 12월 02일,30,11,2019년 07월 14일,2020년 01월 10일
96,김기니,부암동,010-5593-7884,-,97.10.24,12개월권,N,-,25,24,23,96,2018년 11월 11일,16,12,2019년 07월 13일,2020년 03월 01일
97,차태식,평창동,010-1545-5433,민가리,96.03.06,6개월권,Y,T이유진,24,25,22,-,2018년 10월 10일,23,16,2019년 07월 11일,2019년 11월 23일
98,오태식,부암동,010-5252-2131,-,97.04.01,3개월권,Y,T김령진,23,23,22,98,2019년 01월 03일,13,1,2019년 07월 10일,2019년 11월 13일
99,정청,홍지동,010-9952-1231,용가리,91.10.10,12개월권,N,-,24,25,21,99,2019년 01월 10일,6,0,2019년 07월 01일,2019년 09월 03일
100,고니,평창동,010-2341-5221,최빡준,92.10.20,6개월권,N,-,22,22,22,-,2019년 04월 03일,26,0,2019년 07월 11일,2019년 12월 31일
101,김성태,홍지동,010-4704-7523,천우희,82.08.20,3개월권,Y,T고진권,29.5,28.5,20,-,2019년 03월 30일,30,5,2019년 07월 01일,2019년 08월 11일
102,강성태,홍지동,010-2187-3475,-,92.06.16,6개월권,Y,T고진권,31,30,25,102,2019년 04월 02일,30,3,2019년 06월 15일,2019년 12월 18일
103,공혁준,홍지동,010-6090-6049,-,94.01.10,3개월권,Y,T고진권,26,24,20,-,2018년 06월 12일,25,2,2019년 07월 03일,2019년 07월 30일
104,길상준,홍지동,010-5895-6791,-,98.08.25,12개월권,N,-,25,23,20,-,2017년 01월 03일,25,0,2019년 04월 12일,2020년 01월 03일
105,천우희,홍지동,010-7510-4674,-,81.11.08,3개월권,N,-,24,22,20,-,2018년 06월 28일,20,0,2019년 07월 14일,2019년 10월 02일
106,이두원,홍지동,010-9789-9979,천우희,89.05.02,1개월권,N,-,26,24,20,-,2017년 06월 12일,30,0,2019년 07월 15일,2019년 07월 20일
107,이희수,평창동,010-8958-7204,-,91.08.23,6개월권,N,-,27,26,20,-,2017년 08월 11일,30,0,2019년 06월 30일,2019년 11월 04일
108,장희상,평창동,010-9522-7840,-,81.03.30,3개월권,Y,T신창호,32,31,25,-,2019년 02월 03일,20,7,2019년 07월 13일,2019년 08월 14일
109,구정훈,평창동,010-9838-2739,-,93.08.19,6개월권,Y,T신창호,30,28,25,109,2014년 08월 07일,20,12,2016년 03월 31일,2016년 05월 20일
110,강강산,평창동,010-4944-2990,-,88.09.01,3개월권,N,-,25,24,20,-,2019년 04월 16일,30,0,2019년 07월 01일,2019년 09월 02일
111,장준영,평창동,010-1004-1004,배주현,96.07.25,12개월권,Y,T신창호,24,23.5,20,112,2019년 03월 01일,50,12,2019년 07월 12일,2020년 03월 01일
112,한용구,평창동,010-1070-1577,-,96.09.25,6개월권,N,-,28,27,25,-,2019년 02월 25일,40,0,2019년 06월 12일,2019년 08월 25일
113,박상준,평창동,010-4214-1241,장준영,96.03.01,6개월권,Y,T이유진,27,26,25,-,2019년 02월 25일,23,8,2019년 06월 08일,2019년 08월 25일
114,최일구,평창동,010-2144-1232,한용구,96.08.15,3개월권,N,-,26,26,25,-,2019년 02월 25일,58,0,2019년 06월 18일,2019년 07월 25일
115,이건우,평창동,010-7789-1244,-,96.04.15,6개월권,Y,T이유진,26,26,25,115,2019년 02월 25일,32,2,2019년 06월 01일,2019년 08월 25일
116,황예지,평창동,010-5858-1004,배주현,00.05.06,3개월권,N,-,20,19.5,19,-,2019년 02월 25일,42,0,2019년 06월 23일,2019년 09월 25일
117,배주현,평창동,010-7979-8282,-,91.03.29,3개월권,N,-,19,18.8,18,-,2019년 05월 25일,43,0,2019년 06월 23일,2019년 08월 25일
118,권은비,평창동,010-2555-2323,-,95.09.27,6개월권,Y,T이유진,19,18.9,18,118,2019년 04월 25일,53,6,2019년 06월 23일,2019년 10월 25일
119,이지은,평창동,010-1577-1488,-,93.05.16,6개월권,N,-,18,17.9,17,-,2019년 03월 25일,76,0,2019년 06월 23일,2019년 02월 25일
120,강예다,평창동,010-4508-1522,고윤택,83.05.14,1개월권,Y,T한도빈,25,20,20,120,2019년 03월 24일,18,5,2019년 07월 01일,2019년 07월 24일
121,강우민,평창동,010-5282-3255,이지은,86.05.31,3개월권,Y,T한도빈,25,23,22,121,2019년 04월 12일,26,6,2019년 07월 08일,2019년 07월 12일
122,고윤택,평창동,010-3462-2751,-,82.04.22,6개월권,N,-,24,22,23,-,2019년 02월 24일,44,0,2019년 06월 24일,2019년 08월 24일
123,권준혁,평창동,010-2577-6576,고윤택,98.04.25,6개월권,Y,T김령진,23,23,21,-,2019년 03월 24일,37,9,2019년 06월 24일,2019년 09월 24일
124,박정환,부암동,010-6438-7532,-,76.03.08,3개월권,N,-,28,27,25,-,2019년 07월 01일,3,0,2019년 07월 04일,2019년 10월 01일
125,이동근,부암동,010-2457-3686,-,75.05.29,1개월권,Y,T김령진,21,22,21,-,2019년 03월 03일,15,5,2019년 07월 08일,2019년 08월 03일
126,이필중,부암동,010-5285-1725,-,81.01.16,6개월권,N,-,24,24,23,-,2019년 03월 05일,12,0,2019년 07월 10일,2019년 09월 05일
127,장석호,부암동,010-5236-0436,-,96.07.31,1개월권,N,-,25,24,20,-,2019년 02월 07일,49,0,2019년 07월 09일,2019년 08월 07일
128,정석원,부암동,010-3251-8367,최재윤,81.04.29,3개월권,N,-,26,24,22,-,2019년 05월 05일,31,0,2019년 07월 15일,2019년 08월 05일
129,최재윤,부암동,010-3564-3577,-,75.02.16,3개월권,Y,T한도빈,22,21,20,129,2019년 04월 13일,27,6,2019년 07월 14일,2019년 07월 13일
130,남주혁,부암동,010-2019-0711,-,65.05.21,3개월권,Y,T김령진,27.5,25,20,-,2019년 05월 01일,7,3,2019년 06월 30일,2019년 08월 01일
131,한운일,부암동,010-1577-1577,-,46.06.01,12개월권,N,-,30,23.5,20,-,2019년 03월 01일,5,0,2019년 07월 12일,2020년 03월 01일
132,최손호,부암동,010-0570-1538,-,82.01.02,6개월권,Y,T한도빈,21,27,20,-,2019년 02월 25일,23,2,2019년 07월 01일,2019년 08월 25일
133,최하운,부암동,010-5335-9981,장준영,91.03.03,12개월권,Y,T김령진,42,26,20,133,2019년 01월 02일,11,8,2019년 07월 02일,2020년 01월 02일
134,반수혁,구기동,010-6712-2176,-,98.07.02,3개월권,Y,T김경문,17,26,20,-,2015년 03월 25일,91,1,2019년 07월 15일,2019년 08월 27일
135,최상진,구기동,010-1221-2332,-,01.12.12,6개월권,N,-,12,26,20,-,2016년 02월 25일,7,0,2019년 03월 02일,2019년 12월 25일
136,송원상,구기동,010-1101-8888,최손호,84.05.05,1개월권,Y,T김경문,16,19.5,20,136,2017년 08월 12일,22,12,2019년 07월 16일,2019년 07월 26일
137,한의환,구기동,010-8282-5858,-,96.03.11,3개월권,N,-,22,18.8,20,-,2012년 05월 25일,130,0,2019년 07월 16일,2019년 09월 27일
138,천서준,구기동,010-1577-1234,김희재,90.05.04,12개월권,N,-,29,18.9,20,-,2016년 04월 25일,45,0,2018년 06월 30일,2019년 11월 25일
139,전주형,구기동,010-2123-1456,-,93.07.21,6개월권,N,-,26.5,17.9,20,-,2014년 12월 25일,76,0,2019년 05월 10일,2019년 07월 25일
140,김길태,구기동,010-6360-1363,-,97.08.11,6개월권,N,-,30.7,25.6,22,-,2019년 02월 12일,103,0,2019년 07월 14일,2019년 08월 12일
141,오현욱,구기동,010-9366-1709,-,95.09.08,3개월권,Y,T김경문,23.5,20.1,18,141,2018년 11월 30일,51,5,2019년 02월 03일,2019년 02월 27일
142,성창현,구기동,010-5534-4563,-,97.12.30,3개월권,Y,T김경문,27.2,25.3,20,-,2019년 06월 02일,37,2,2019년 07월 16일,2019년 09월 02일
143,백소희,효차동,010-6609-5398,-,99.10.02,12개월권,N,-,26.8,21.5,20,-,2019년 03월 15일,73,0,2019년 07월 08일,2020년 03월 15일
144,김혁규,효차동,010-0470-1429,-,89.05.27,6개월권,N,-,20.4,19.4,18,-,2019년 07월 01일,10,0,2019년 07월 16일,2020년 01월 01일
145,신희재,효차동,010-0093-6274,-,93.07.13,3개월권,N,-,18.2,17.7,18,-,2019년 07월 06일,8,0,2019년 07월 15일,2019년 10월 06일
146,유영철,효차동,010-4525-9729,-,98.11.21,3개월권,Y,T신창호,34.5,29.2,25,-,2019년 04월 11일,82,10,2019년 06월 28일,2019년 07월 11일
147,백종우,불광동,010-1111-5930,-,94.02.01,6개월권,N,-,25,23.7,20,-,2019년 02월 28일,133,0,2019년 07월 03일,2019년 08월 28일
148,이현욱,불광동,010-6932-4634,-,00.01.01,12개월권,Y,T신창호,29.6,20.6,20,148,2018년 08월 20일,348,42,2019년 07월 08일,2019년 08월 20일
149,이철수,불광동,010-5900-5839,-,98.03.09,3개월권,Y,T신창호,22.2,21.5,18,-,2018년 02월 02일,64,10,2018년 04월 22일,2018년 05월 02일
150,김희재,불광동,010-7351-8518,-,95.03.17,3개월권,N,-,24,23,20,-,2018년 03월 28일,30,0,2019년 06월 28일,2019년 07월 14일
151,이지은,홍지동,010-1998-0001,최상명,98.05.13,1개월권,N,-,25,24,24,151,2019년 01월 03일,30,0,2019년 07월 01일,2019년 07월 16일
152,이유잔,평창동,010-1998-0002,이상명,98.05.14,3개월권,N,-,27,25,24,152,2019년 01월 05일,15,0,2019년 07월 10일,2019년 08월 05일
153,김진기,부암동,010-1998-0003,김상명,98.05.15,1개월권,N,-,35,32,30,153,2019년 01월 07일,13,0,2019년 07월 05일,2019년 08월 09일
154,김명기,구기동,010-1998-0004,배상명,89.12.30,6개월권,Y,T김령진,36,34,30,154,2019년 01월 09일,9,3,2019년 07월 16일,2019년 08월 09일
155,나원삼,홍은동,010-1998-0005,김진기,97.02.13,3개월권,Y,T정창현,32,29,25,155,2019년 01월 11일,3,6,2019년 07월 11일,2019년 08월 11일
156,조알마,효자동,010-1998-0006,김명기,64.02.20,6개월권,N,-,34,32,25,156,2019년 01월 13일,12,0,2019년 07월 15일,2019년 08월 13일
157,김숙자,불광동,010-1998-0007,조알마,73.02.05,1개월권,Y,T김령진,35,31,25,157,2019년 01월 15일,19,4,2019년 07월 16일,2019년 08월 15일
158,김명자,홍지동,010-1998-0008,나원삼,76.03.20,12개월권,N,-,29,27,25,158,2019년 01월 17일,26,0,2019년 07월 16일,2020년 01월 17일
159,유진상,평창동,010-1998-0009,이상명,05.08.17,3개월권,Y,T정창현,27,24,22,159,2019년 01월 19일,22,2,2019년 07월 12일,2019년 07월 16일
160,유화상,부암동,010-1998-0010,최상명,01.10.15,12개월권,N,-,26,25,22,160,2019년 01월 21일,10,0,2019년 07월 15일,2020년 01월 21일
161,최울상,구기동,010-1998-0011,유진상,98.05.16,12개월권,Y,T이유진,27,26,22,161,2019년 01월 23일,11,1,2019년 07월 14일,2020년 01월 23일
162,최정상,홍은동,010-1998-0012,유화상,98.05.17,1개월권,Y,T김령진,27,27,22,162,2019년 01월 25일,7,8,2019년 07월 14일,2019년 08월 25일
163,장하영,효자동,010-1998-0013,김숙자,98.05.18,12개월권,Y,T정창현,28,28,25,163,2019년 01월 27일,6,9,2019년 07월 01일,2020년 01월 27일
164,장희진,불광동,010-1998-0014,-,89.12.31,6개월권,Y,T정창현,29,29,25,164,2019년 01월 29일,0,11,2019년 07월 10일,2019년 08월 29일
165,나상실,홍지동,010-1998-0015,김명자,97.02.14,12개월권,Y,T이유진,30,30,25,165,2019년 01월 31일,3,12,2019년 07월 05일,2020년 01월 31일
166,김지시,평창동,010-1998-0016,조알마,64.02.21,1개월권,N,-,27,26,25,166,2019년 02월 02일,15,0,2019년 07월 16일,2019년 08월 02일
